dataset,model,paper
ImageNet,MetaPseudoLabels(EfficientNet-L2),MetaPseudoLabels
CIFAR-10,EffNet-L2(SAM),Sharpness-AwareMinimizationforEfficientlyImprovingGeneralization
CIFAR-100,EffNet-L2(SAM),Sharpness-AwareMinimizationforEfficientlyImprovingGeneralization
STL-10,Wide-ResNet-101(SpinalFC),SpinalNet:DeepNeuralNetworkwithGradualInput
SVHN,WRN28-10(SAM),Sharpness-AwareMinimizationforEfficientlyImprovingGeneralization
MNIST,Branching/MergingCNN+HomogeneousFilterCapsules,ABranchingandMergingConvolutionalNetworkwithHomogeneousFilterCapsules
ImageNetReaL,MetaPseudoLabels(EfficientNet-B6-Wide),MetaPseudoLabels
VTAB-1k,ALIGN(50hypers/task),ScalingUpVisualandVision-LanguageRepresentationLearningWithNoisyTextSupervision
Flowers-102,BiLSTM-TDN,SequentialRandomNetworkforFine-grainedImageClassification
Clothing1M,AugDesc-WS-SAW,AugmentationStrategiesforLearningwithNoisyLabels
iNaturalist2018,RegNet-8GF,Grafit:Learningfine-grainedimagerepresentationswithcoarselabels
Kuzushiji-MNIST,VGG-5(SpinalFC),SpinalNet:DeepNeuralNetworkwithGradualInput
miniWebVision1.0,DivideMixwithC2D(ResNet-50),ContrasttoDivide:Self-SupervisedPre-TrainingforLearningwithNoisyLabels
StanfordCars,TResNet-L-V2,ImageNet-21KPretrainingfortheMasses
iNaturalist2019,Grafit(RegnetY8GF),Grafit:Learningfine-grainedimagerepresentationswithcoarselabels
Fashion-MNIST,Fine-TuningDARTS,Fine-TuningDARTSforImageClassification
WebVision-1000,Heteroscedastic(InceptionResNet-v2),CorrelatedInput-DependentLabelNoiseinLarge-ScaleImageClassification
CINIC-10,NAT-M3,NeuralArchitectureTransfer
EMNIST-Letters,VGG-5(SpinalFC),SpinalNet:DeepNeuralNetworkwithGradualInput
TieredImageNet5-way(5-shot),EGNN+Transduction,Edge-labelingGraphNeuralNetworkforFew-shotLearning
ObjectNet,BiT-L(ResNet-152x4),BigTransfer(BiT):GeneralVisualRepresentationLearning
Oxford-IIITPets,BiLSTM-TDN(ResNet-101),SequentialRandomNetworkforFine-grainedImageClassification
smallNORB,Efficient-CapsNet,Efficient-CapsNet:CapsuleNetworkwithSelf-AttentionRouting
EMNIST-Balanced,VGG-5(SpinalFC),SpinalNet:DeepNeuralNetworkwithGradualInput
ImageNetV2,CAIT-M36-448,GoingdeeperwithImageTransformers
iNaturalist,Style2Vec,Style2Vec:RepresentationLearningforFashionItemsfromStyleSets
TinyImageNetClassification,ViT-B/32pretrainedonImageNet-21K,AnImageisWorth16x16Words:TransformersforImageRecognitionatScale
ObjectNet(BoundingBox),BiT-L(ResNet),BigTransfer(BiT):GeneralVisualRepresentationLearning
EMNIST-Digits,VGG-5(SpinalFC),SpinalNet:DeepNeuralNetworkwithGradualInput
MAMe,EfficientNet-B3,TheMAMeDataset:OntherelevanceofHighResolutionandVariableShapeimageproperties
Food-101N,CleanNet,CleanNet:TransferLearningforScalableImageClassifierTrainingwithLabelNoise
CelebA64x64,cFlow,Null-samplingforInterpretableandFairRepresentations
ImbalancedCUB-200-2011,Multi-task,UFPR-Periocular:APeriocularDatasetCollectedbyMobileDevicesinUnconstrainedScenarios
NoisyMNIST(AWGN),PCGAN-CHAR,PCGAN-CHAR:ProgressivelyTrainedClassifierGenerativeAdversarialNetworksforClassificationofNoisyHandwrittenBanglaCharacters
NoisyMNIST(Motion),PCGAN-CHAR,PCGAN-CHAR:ProgressivelyTrainedClassifierGenerativeAdversarialNetworksforClassificationofNoisyHandwrittenBanglaCharacters
NoisyMNIST(Contrast),PCGAN-CHAR,PCGAN-CHAR:ProgressivelyTrainedClassifierGenerativeAdversarialNetworksforClassificationofNoisyHandwrittenBanglaCharacters
Tiny-ImageNet,UPANets,UPANets:LearningfromtheUniversalPixelAttentionNetworks
Fracture/NormalShoulderBoneX-rayImagesonMURA,OurEnsembleLearning-2,ClassificationofShoulderX-RayImageswithDeepLearningEnsembleModels
Food-101,NNCLR,WithaLittleHelpfromMyFriends:Nearest-NeighborContrastiveLearningofVisualRepresentations
EuroSAT,MSMatchMultispectral,MSMatch:Semi-SupervisedMultispectralSceneClassificationwithFewLabels
MultiMNIST,CapsNet,DynamicRoutingBetweenCapsules
QMNIST,VGG-5(SpinalFC),SpinalNet:DeepNeuralNetworkwithGradualInput
iCassava'19,E2E-3M,RethinkingRecurrentNeuralNetworksandOtherImprovementsforImageClassification
"cifar-10,4000",WRN-28-2+UDA+AutoDropout,AutoDropout:LearningDropoutPatternstoRegularizeDeepNetworks
ImageNet-10,ResNet-50+UDA+AutoDropout,AutoDropout:LearningDropoutPatternstoRegularizeDeepNetworks
LabelMe,CoNAL,LearningfromCrowdsbyModelingCommonConfusions
SurreyASL,E2E-3M,RethinkingRecurrentNeuralNetworksandOtherImprovementsforImageClassification
CUB-200-2011,BiLSTM-TDN(ResNet-101),SequentialRandomNetworkforFine-grainedImageClassification
Places205,BarlowTwins(ResNet-50),BarlowTwins:Self-SupervisedLearningviaRedundancyReduction
ArtDL,ResNet-50,ADataSetandaConvolutionalModelforIconographyClassificationinPaintings
PASCALVOC2007,NNCLR,WithaLittleHelpfromMyFriends:Nearest-NeighborContrastiveLearningofVisualRepresentations
DTD,NNCLR,WithaLittleHelpfromMyFriends:Nearest-NeighborContrastiveLearningofVisualRepresentations
MNIST-rot-12,PDO-eConv(ours),PDO-eConvs:PartialDifferentialOperatorBasedEquivariantConvolutions
MNIST-rot-12k(DA),PDO-eConv(ours),PDO-eConvs:PartialDifferentialOperatorBasedEquivariantConvolutions
